name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
Royal Enfield Classic Gunmetal Grey,190000,2020,blanc,1st owner,500,
KTM 390 Duke ABS [2013-2016],130000,2015,blanc,1st owner,50000,
Honda CB Hornet 160R,54786,2016,blanc,1st owner,25000,
KTM 200 Duke,72000,2013,blanc,1st owner,36500,
Hero Karizma 2014,35000,2013,blanc,1st owner,26000,
Hero Glamour 125,45000,2017,blanc,1st owner,18000,
Royal Enfield Classic 350,85000,2013,blanc,1st owner,49000,
Royal Enfield Classic 500,100000,2013,blanc,1st owner,18000,
Bajaj Dominar 400,138000,2017,blanc,1st owner,15000,
Royal Enfield Thunderbird 350X,150000,2018,blanc,1st owner,8500,
KTM RC 390,180000,2017,blanc,1st owner,3775,
Royal Enfield Thunderbird 350,100000,2015,blanc,1st owner,14500,
Hero Hunk,20000,2010,blanc,1st owner,35000,
KTM 390 Duke,170000,2017,blanc,1st owner,14000,
Suzuki Gixxer [2014-2018],60000,2016,blanc,1st owner,16000,
Royal Enfield Bullet 350,123000,2016,blanc,1st owner,7000,
Suzuki Access 125,60000,2017,blanc,1st owner,4000,
TVS Apache RTR 200 4V,100000,2017,blanc,1st owner,45000,
Hero Xtreme Sports,22000,2014,blanc,1st owner,99000,
Honda Activa [2000-2015],30000,2014,blanc,1st owner,52000,
Bajaj Discover 125,28000,2013,blanc,1st owner,45000,
Bajaj Pulsar 150,50000,2007,blanc,1st owner,52000,
Yamaha Saluto RX,40000,2017,blanc,1st owner,27000,
Hero HF Deluxe,43000,2018,blanc,1st owner,60000,
Suzuki Access 125,40000,2015,blanc,1st owner,2300,
Royal Enfield Classic Desert Storm,100000,2012,blanc,1st owner,15000,
Hero HF Deluxe,30000,2016,blanc,1st owner,50000,
KTM RC 200,130000,2017,blanc,1st owner,27000,
Honda CB Hornet 160R,48000,2016,blanc,2nd owner,25000,
Bajaj CT 100,32000,2017,blanc,1st owner,40000,
Hero Honda Pleasure,23000,2010,blanc,1st owner,32000,
Bajaj Pulsar 135 LS,20000,2010,blanc,2nd owner,50000,
Royal Enfield Classic 350,125000,2017,blanc,1st owner,36000,
Honda Navi [2016-2017],23000,2016,blanc,1st owner,17450,
Bajaj Discover 125,15000,2011,blanc,1st owner,32000,
Yamaha SZ RR V 2.0,35000,2015,blanc,1st owner,38000,
Bajaj Discover 150,25000,2014,blanc,2nd owner,71000,
Bajaj Pulsar 150,80000,2019,blanc,1st owner,8000,
TVS Flame,15000,2010,blanc,1st owner,12000,
Vespa VX 125,45000,2013,blanc,2nd owner,50000,
Yamaha SZ X,25000,2012,blanc,2nd owner,30000,
Honda CBF Stunner,35000,2013,blanc,1st owner,15888,
Bajaj Discover 100 T,25000,2013,blanc,1st owner,26000,
Royal Enfield Classic 350,170000,2018,blanc,1st owner,5600,
Honda Activa [2000-2015],25000,2014,blanc,1st owner,41000,
Royal Enfield Electra 5 S,60000,2007,blanc,2nd owner,19612,
Bajaj Pulsar 150,41000,2012,blanc,1st owner,17000,
Honda Shine,35000,2012,blanc,1st owner,33700,
Honda CB Unicorn 160,75000,2015,blanc,1st owner,100000,
Honda Activa 3G,47999,2016,blanc,1st owner,6000,
Honda Shine,36999,2011,blanc,1st owner,21000,
Bajaj Pulsar 180,25000,2007,blanc,1st owner,80000,
Suzuki Gixxer SF,60000,2016,blanc,1st owner,15000,
Honda CB Unicorn 150,50000,2007,blanc,1st owner,46000,
Yamaha YZF R15 [2011-2018],65000,2013,blanc,1st owner,11000,
TVS Sport,12000,2007,blanc,1st owner,72000,
Bajaj Pulsar AS200,60000,2015,blanc,1st owner,50000,
Honda Activa [2000-2015],20000,2010,blanc,1st owner,50000,
Yamaha FZ16,27000,2011,blanc,1st owner,67000,
Bajaj Boxer,10000,2000,blanc,1st owner,30000,
Hero Honda Hunk,56000,2015,blanc,1st owner,48000,
Hero Honda Hunk,58000,2015,blanc,1st owner,48000,
Bajaj Avenger Cruise 220,87000,2018,blanc,1st owner,8000,
Yamaha Ray Z,35000,2015,blanc,1st owner,15500,
Bajaj Pulsar 180,35000,2012,blanc,1st owner,45000,
Bajaj Discover 150F,40000,2014,blanc,2nd owner,60855,
Bajaj Pulsar 135 LS,56000,2017,blanc,3rd owner,37714,
Bajaj Pulsar 180,30000,2008,blanc,2nd owner,60000,
Honda Activa 125 [2016-2017],40000,2017,blanc,1st owner,26000,
Hero HF Deluxe,60000,2019,blanc,1st owner,6000,
Hero Karizma 2014,40000,2013,blanc,1st owner,30000,
Bajaj Platina 100,40000,2018,blanc,1st owner,17000,
Royal Enfield Bullet 500,130000,2015,blanc,1st owner,34601,
Bajaj Pulsar AS200,45000,2015,blanc,1st owner,48000,
Yamaha FZ S [2012-2016],42000,2013,blanc,1st owner,60000,
Bajaj Pulsar 220 Fi,25000,2012,blanc,1st owner,44000,
Bajaj Pulsar 150,15000,2006,blanc,1st owner,55000,
Bajaj Dominar 400 [2018],170000,2018,blanc,1st owner,16000,
Hero Passion X Pro [2016-2017],38000,2016,blanc,2nd owner,20000,
Yamaha FZ S V 2.0,60000,2015,blanc,2nd owner,17500,
TVS Apache RTR 160,65000,2017,blanc,1st owner,46000,
Bajaj Avenger [2015],35000,2011,blanc,1st owner,30000,
Bajaj Pulsar 150,70000,2019,blanc,1st owner,6500,
Hero Honda Glamour,15000,2006,blanc,1st owner,80000,
Hero Splendor iSmart,50000,2017,blanc,2nd owner,10000,
Royal Enfield Classic 350,145000,2017,blanc,1st owner,2200,
Yamaha FZ16,25000,2008,blanc,1st owner,40000,
Hero Xtreme Sports,58000,2016,blanc,1st owner,21000,
Royal Enfield Bullet 350 [2007-2011],90000,2007,blanc,1st owner,3500,
Hero Honda Passion,9000,2002,blanc,2nd owner,66191,
Bajaj Discover 150S,40000,2014,blanc,1st owner,50000,
TVS Scooty Zest 110,28000,2015,blanc,1st owner,32800,
Bajaj Avenger Street 150 [2018],50000,2016,blanc,1st owner,32000,
Yamaha Cygnus Ray ZR,56000,2019,blanc,1st owner,3900,
Honda Activa [2000-2015],35000,2014,blanc,1st owner,10000,
TVS Apache RTR 200 4V,95000,2018,blanc,1st owner,9600,
Honda Shine,30000,2010,blanc,1st owner,46782,
Honda CB Hornet 160R,95000,2019,blanc,1st owner,8000,
Honda Activa i [2016-2017],40000,2017,blanc,1st owner,11000,
Hero Karizma 2014,30000,2014,blanc,2nd owner,51000,
Bajaj Discover 100 T,18000,2013,blanc,1st owner,45000,
Honda Aviator,14000,2008,blanc,1st owner,66000,
Hero Splendor Plus,17000,2010,blanc,2nd owner,50000,
Royal Enfield Thunderbird 350,125000,2017,blanc,1st owner,23500,
Bajaj CT 110,20000,2015,blanc,1st owner,25000,
Hero Passion PRO i3s,50000,2017,blanc,1st owner,41000,
KTM RC 390,210000,2017,blanc,1st owner,12000,
Bajaj Pulsar 220F,70000,2018,blanc,1st owner,33000,
Hero Maestro Edge,40000,2017,blanc,1st owner,15000,
Bajaj Xcd,10000,2008,blanc,1st owner,50000,
Bajaj Pulsar 150,35000,2010,blanc,1st owner,40000,
TVS Centra,10000,2005,blanc,1st owner,50000,
Honda Activa 3G,42000,2015,blanc,1st owner,20000,
Yamaha FZ16,20000,2009,blanc,1st owner,50000,
Hero Maestro Edge,25000,2017,blanc,1st owner,55000,
Bajaj Discover 125,25000,2016,blanc,1st owner,70350,
Royal Enfield Thunderbird 350X,145000,2019,blanc,1st owner,2700,
Hero Super Splendor,50000,2016,blanc,1st owner,20000,
TVS Scooty Pep Plus,30000,2011,blanc,1st owner,20000,
Yamaha FZ V 2.0,60000,2014,blanc,1st owner,41311,
Hero Honda Splendor Plus,15000,2005,blanc,1st owner,65000,
Hero CD Deluxe,15000,2014,blanc,2nd owner,34000,
Hero Honda Passion PRO [2012],25000,2011,blanc,1st owner,20000,
Hero HF Deluxe i3s,54000,2019,blanc,1st owner,11000,
Bajaj Xcd,25000,2007,blanc,1st owner,75000,
Royal Enfield Interceptor 650,260000,2019,blanc,1st owner,1200,
Honda CBR-250R,100000,2014,blanc,1st owner,19000,
Bajaj Kristal,15000,2007,blanc,1st owner,30000,
Hero Honda Splendor Plus,20000,2006,blanc,1st owner,23000,
Honda Dream Yuga,35000,2014,blanc,1st owner,10000,
Yamaha FZ S V 2.0,50000,2016,blanc,1st owner,40000,
Hero Xpulse 200,90000,2019,blanc,1st owner,8600,
Bajaj V15,40000,2016,blanc,1st owner,45000,
Bajaj Avenger Street 220,80000,2016,blanc,1st owner,7200,
Bajaj Discover 135,20000,2010,blanc,1st owner,31195,
Honda CB Unicorn 150,70000,2017,blanc,1st owner,18000,
Vespa SXL 149,98000,2019,blanc,1st owner,1000,
Royal Enfield Machismo,75000,2008,blanc,2nd owner,17000,
Honda CB Shine SP,50000,2016,blanc,1st owner,46000,
Honda CB Unicorn 150,40000,2014,blanc,1st owner,77592,
Honda CB Unicorn 150,75000,2013,blanc,1st owner,54000,
Honda CB Unicorn 150,50000,2013,blanc,1st owner,17000,
Bajaj Pulsar 150,60000,2014,blanc,1st owner,60000,
TVS Apache RTR 160,50000,2016,blanc,1st owner,40000,
Honda Dio,35000,2014,blanc,1st owner,25000,
Royal Enfield Thunderbird 350,160000,2018,blanc,1st owner,19000,
Hero Maestro,25000,2015,blanc,2nd owner,40000,
Hero Honda CBZ extreme,42000,2010,blanc,1st owner,51000,
Bajaj Dominar 400,200000,2019,blanc,1st owner,7600,
Honda Activa 125,40000,2014,blanc,1st owner,14965,
Royal Enfield Classic Desert Storm,130000,2015,blanc,2nd owner,25000,
KTM 250 Duke,195000,2019,blanc,1st owner,6000,
KTM RC 390,270000,2019,blanc,1st owner,2380,
Kawasaki Ninja 650 [2018-2019],425000,2017,blanc,2nd owner,13600,
TVS Apache RTR 200 4V,85000,2018,blanc,1st owner,10000,
Kawasaki Ninja 250R,125000,2010,blanc,2nd owner,21000,
TVS Wego,45000,2018,blanc,1st owner,10000,
Honda CBR-250R,85000,2014,blanc,2nd owner,18600,
Bajaj Pulsar NS200,85000,2018,blanc,1st owner,7750,
Suzuki GSX S750,760000,2019,blanc,1st owner,2800,
Royal Enfield Thunderbird 350,100000,2015,blanc,1st owner,30000,
Royal Enfield Classic 350,95000,2015,blanc,1st owner,9800,
Honda CB Shine SP,48000,2015,blanc,1st owner,25000,
Bajaj Avenger Street 150 [2018],40000,2016,blanc,1st owner,29689,
Honda CBF Stunner,37000,2014,blanc,1st owner,43000,
Bajaj Avenger [2015],38000,2014,blanc,2nd owner,28243,
Suzuki Gixxer [2014-2018],55000,2015,blanc,1st owner,25000,
Suzuki Access 125,45000,2017,blanc,1st owner,22300,
TVS Scooty Streak,18000,2009,blanc,2nd owner,33595,
Royal Enfield Thunderbird 350X,140000,2018,blanc,1st owner,5505,
Yamaha Rx,70000,2000,blanc,3rd owner,5000,
Hero Honda Splendor Plus,15000,2007,blanc,1st owner,30000,
Bajaj Pulsar 125,65000,2019,blanc,1st owner,16000,
Honda Activa 5G,42000,2018,blanc,1st owner,22000,
Yamaha Fazer Dlx,58000,2012,blanc,1st owner,40000,
Harley-Davidson Street 750,330000,2014,blanc,4th owner,6500,
Hero Xtreme 2014,35000,2013,blanc,1st owner,15000,
Royal Enfield Classic 350,162000,2018,blanc,1st owner,17365,
Hero Honda Hunk,28000,2009,blanc,1st owner,40000,
Royal Enfield Interceptor 650,285000,2019,blanc,1st owner,5500,
Royal Enfield Classic 350,125000,2017,blanc,1st owner,33900,
Bajaj Pulsar 150 [2001-2011],15000,2005,blanc,1st owner,47670,
Honda Activa [2000-2015],29500,2013,blanc,1st owner,45000,
TVS Apache RR310,200000,2019,blanc,1st owner,5000,
Jawa Standard,160000,2019,blanc,1st owner,5700,
Hero Honda Splendor PRO,30000,2012,blanc,1st owner,22866,
Yamaha FZ25,110000,2019,blanc,1st owner,10000,
Bajaj Pulsar 220F,70000,2016,blanc,1st owner,31000,
Yamaha Fascino 110,69000,2019,blanc,1st owner,1600,
Yamaha FZ16,30000,2011,blanc,1st owner,44000,
Yamaha FZ16,30000,2010,blanc,1st owner,70000,
TVS Star City Plus,42000,2017,blanc,1st owner,21000,
Royal Enfield Classic 350,160000,2018,blanc,1st owner,17365,
Bajaj Pulsar 135 LS,20000,2010,blanc,1st owner,80000,
Suzuki Access 125,45000,2017,blanc,1st owner,15000,
Bajaj Pulsar 135 LS,23000,2010,blanc,1st owner,77000,
UM Renegade Commando,140000,2017,blanc,2nd owner,40000,
Hero Honda Splendor Plus,12000,2005,blanc,1st owner,48000,
Hero Passion PRO i3s,50000,2017,blanc,1st owner,18000,
Royal Enfield Classic 350,140000,2018,blanc,1st owner,20000,
Honda Activa 5G,55000,2019,blanc,1st owner,9000,
Yamaha Fascino 110,45000,2016,blanc,1st owner,56000,
Hero Splendor Plus,25000,2012,blanc,1st owner,50000,
Royal Enfield Thunderbird 350,90000,2014,blanc,1st owner,12000,
Yamaha YZF R15 V3,120000,2018,blanc,1st owner,11500,
KTM RC 200,120000,2015,blanc,1st owner,20000,
TVS Radeon,35000,2017,blanc,1st owner,20000,
Hero HF Deluxe,35000,2017,blanc,1st owner,27000,
BMW G310GS,300000,2018,blanc,1st owner,2500,
Royal Enfield Thunderbird 350,87000,2012,blanc,1st owner,20477,
Hero Honda Splendor Plus,18000,2010,blanc,1st owner,35700,
Yamaha FZ S V 2.0,50000,2014,blanc,1st owner,70000,
Bajaj Avenger Street 220,60000,2016,blanc,1st owner,29000,
Hero Honda Splendor Plus,15000,2004,blanc,1st owner,14500,
Bajaj Platina 100,30000,2018,blanc,1st owner,37000,
Royal Enfield Thunderbird 350X,160000,2018,blanc,1st owner,3246,
Honda CB Unicorn 150,50000,2016,blanc,1st owner,27000,
Suzuki Gixxer [2014-2018],62000,2017,blanc,1st owner,15000,
Bajaj Platina 100,45000,2019,blanc,1st owner,15000,
Royal Enfield Thunderbird 350,120000,2017,blanc,1st owner,4050,
Royal Enfield Thunderbird 500,125000,2014,blanc,1st owner,25000,
Bajaj Pulsar AS150,50000,2015,blanc,1st owner,5000,
Bajaj Pulsar 150,30000,2012,blanc,2nd owner,5000,
Hero Pleasure,40000,2014,blanc,1st owner,14000,
Honda Aviator,41000,2013,blanc,1st owner,36500,
Royal Enfield Thunderbird 350,120000,2017,blanc,2nd owner,9000,
Hero Ignitor,35000,2014,blanc,1st owner,33200,
Hero Honda CD100SS,10000,1997,blanc,1st owner,646000,
TVS Apache RTR 160,35000,2011,blanc,1st owner,25000,
Hero Achiever 150,38000,2017,blanc,1st owner,26000,
Vespa LX 125,50000,2015,blanc,1st owner,3909,
Honda Activa 3G,40000,2015,blanc,1st owner,7672,
Hero Splendor Plus i3s,70000,2019,blanc,1st owner,3000,
Royal Enfield Classic 350,140000,2016,blanc,1st owner,3654,
Hero Maestro,26500,2016,blanc,2nd owner,40000,
Hero Glamour 125,38000,2016,blanc,1st owner,5500,
Yamaha FZ16,60000,2016,blanc,1st owner,29950,
Royal Enfield Himalayan,145000,2017,blanc,1st owner,14000,
Yamaha FZ S V 2.0,78000,2017,blanc,1st owner,26100,
Hero Maestro Edge,58000,2018,blanc,1st owner,6000,
Yamaha FZ25,130000,2017,blanc,1st owner,4000,
TVS Victor,20000,2001,blanc,1st owner,50000,
Bajaj Dominar 400 [2018],150000,2018,blanc,1st owner,5475,
Bajaj Pulsar 180,32000,2012,blanc,1st owner,40000,
Bajaj Pulsar 180,50000,2017,blanc,1st owner,20500,
KTM 200 Duke,120000,2017,blanc,1st owner,4100,
Bajaj Avenger Street 150 [2018],60000,2016,blanc,2nd owner,23097,
Bajaj Discover 100 M,20000,2011,blanc,1st owner,37734,
Royal Enfield Bullet 350 [2007-2011],65000,2011,blanc,2nd owner,65000,
Yamaha YZF R15 S,70000,2016,blanc,1st owner,8000,
Yamaha FZ V 2.0,35000,2014,blanc,1st owner,13500,
Bajaj Avenger Street 220,95000,2018,blanc,1st owner,23000,
Bajaj Pulsar 150,8000,2005,blanc,1st owner,58000,
Royal Enfield Thunderbird 350,85000,2010,blanc,1st owner,15000,
Hero Achiever 150,65000,2016,blanc,1st owner,29000,
Hero Passion Pro 110,39000,2013,blanc,1st owner,20000,
Hero Duet,45000,2017,blanc,1st owner,35000,
Bajaj Avenger Street 150 [2018],60000,2016,blanc,1st owner,45137,
Royal Enfield Classic Stealth Black,160000,2018,blanc,1st owner,7500,
Bajaj Pulsar 150,35000,2011,blanc,1st owner,35600,
Bajaj Pulsar 135 LS,40000,2018,blanc,1st owner,15000,
Yamaha Fazer [2009-2016],40000,2012,blanc,1st owner,7353,
Honda CB Hornet 160R,56000,2017,blanc,2nd owner,13200,
Honda CB Unicorn Dazzler,22000,2011,blanc,1st owner,38350,
Yamaha YBR 125,36000,2014,blanc,1st owner,20400,
Suzuki Intruder 150 Fi,100000,2018,blanc,1st owner,14500,
Bajaj V15,42000,2016,blanc,1st owner,19500,
Royal Enfield Electra 5 S,85000,2008,blanc,1st owner,20000,
Hero Passion PRO TR,45000,2014,blanc,1st owner,36000,
Yamaha FZ25,145000,2019,blanc,1st owner,4500,
Hero Karizma [2003-2014],50000,2013,blanc,1st owner,38000,
Royal Enfield Interceptor 650,270000,2019,blanc,1st owner,9000,
Royal Enfield Thunderbird 350,60000,2006,blanc,1st owner,40000,
Royal Enfield Classic Squadron Blue,140000,2017,blanc,1st owner,25000,
Hero Honda Splendor Plus,28000,2008,blanc,1st owner,70889,
KTM 390 Duke ABS [2013-2016],180000,2015,blanc,2nd owner,13125,
Bajaj Pulsar 180,42000,2014,blanc,2nd owner,19600,
Suzuki Access 125 [2007-2016],16000,2011,blanc,1st owner,40000,
Hero Splendor iSmart,40000,2015,blanc,1st owner,19055,
Bajaj Pulsar 180,38000,2012,blanc,2nd owner,57000,
Yamaha YZF R15 S,85000,2017,blanc,1st owner,13000,
Honda Aviator,28000,2013,blanc,1st owner,28087,
KTM 200 Duke,135000,2018,blanc,1st owner,24000,
Royal Enfield Thunderbird 350,120000,2016,blanc,1st owner,24600,
Hero Karizma ZMR,37000,2010,blanc,1st owner,27500,
Royal Enfield Classic Chrome,135000,2015,blanc,1st owner,45000,
Hero Honda Splendor,10000,2000,blanc,1st owner,61000,
Mahindra Rodeo,20000,2013,blanc,1st owner,7000,
TVS Apache RTR 160,83299,2019,blanc,1st owner,6400,
Yamaha Fazer FI V 2.0 [2016-2018],65000,2018,blanc,1st owner,3500,
Honda Activa 5G,50000,2018,blanc,1st owner,14000,
Bajaj Pulsar 220 Fi,65000,2013,blanc,1st owner,6409,
Hero Honda Karizma ZMR [2010],45000,2012,blanc,3rd owner,44000,
Honda CB Hornet 160R,60000,2017,blanc,1st owner,16500,
Royal Enfield Bullet 350,110000,2015,blanc,1st owner,36000,
Hero Honda CD Deluxe,14700,2005,blanc,2nd owner,30000,
Yamaha Saluto,38000,2015,blanc,1st owner,15000,
Suzuki Access 125,70000,2018,blanc,1st owner,14500,
TVS Sport,35000,2018,blanc,1st owner,26600,
Hero Honda Glamour,19000,2012,blanc,1st owner,32000,
KTM 125 Duke,130000,2019,blanc,1st owner,3500,
Bajaj Pulsar NS200,50000,2013,blanc,1st owner,58203,
